question_id,worker1,worker2,worker3,worker4,worker5,worker6,worker7,worker8,worker9,worker10,worker11,worker12,worker13,worker14,worker15,worker16,worker17,worker18,worker19,worker20,worker21,worker22,worker23,worker24,worker25,worker26,worker27,worker28,worker29,worker30,worker31,worker32,worker33,worker34,worker35,worker36,worker37,worker38,worker39,worker40,worker41,worker42,worker43,worker44,worker45,worker46,worker47,worker48,worker49,worker50,worker51,worker52,worker53,worker54,worker55,worker56,worker57,worker58,worker59,worker60,worker61,worker62,worker63
1,E,A,E,A,E,D,E,E,D,D,B,E,E,A,A,C,D,D,E,A,C,C,C,A,E,D,E,E,E,A,C,A,C,E,B,D,A,C,C,A,C,C,C,E,C,C,A,C,E,E,E,B,E,C,B,B,E,E,E,D,C,C,C
2,B,A,B,B,E,E,B,E,B,D,B,C,C,E,C,B,C,E,E,C,C,D,B,D,B,E,C,E,E,C,E,C,C,B,E,D,E,D,C,E,E,E,B,B,A,D,A,B,C,A,E,C,E,D,D,E,A,E,D,A,C,A,D
3,D,D,D,D,B,A,E,B,C,B,E,D,E,A,B,B,D,D,A,C,A,B,B,A,B,B,B,D,E,D,A,D,D,B,A,D,A,E,D,B,B,D,B,E,C,B,D,E,B,A,B,D,B,A,A,B,E,D,E,C,D,B,B
4,E,B,E,E,B,B,E,C,D,C,E,C,E,C,E,E,D,A,E,E,C,E,A,E,E,B,E,A,D,A,B,B,D,E,E,D,D,E,D,A,D,B,C,E,E,A,B,B,C,D,D,B,B,B,D,C,E,E,E,D,D,A,E
5,A,E,A,B,C,C,A,D,B,E,B,A,D,E,E,B,E,D,C,C,B,A,B,B,D,B,B,C,E,E,B,E,B,B,B,C,A,E,A,B,D,E,C,D,B,A,A,B,A,B,C,D,E,B,D,E,C,B,C,D,A,E,A
6,A,B,C,A,A,A,D,E,D,A,D,D,C,B,A,A,B,C,E,D,D,D,A,A,B,C,D,D,B,B,E,C,B,E,C,D,C,D,A,E,C,E,C,B,B,D,B,A,B,B,B,C,A,E,A,D,D,A,E,C,B,C,E
7,E,D,A,E,D,D,A,E,D,B,D,B,D,C,E,A,B,C,C,B,C,E,A,C,E,A,E,D,C,D,C,E,E,B,C,B,C,C,B,D,E,C,A,C,C,C,B,C,D,B,C,E,D,A,D,B,D,D,D,D,B,C,B
8,B,A,A,C,B,B,C,C,D,A,C,B,B,B,B,B,A,B,B,C,C,C,D,A,B,B,C,B,B,A,A,A,B,B,B,B,A,E,C,E,B,A,C,E,A,B,B,C,B,A,D,D,E,D,B,B,D,B,A,C,A,A,B
9,A,D,B,A,C,D,B,A,C,E,B,A,B,C,C,D,A,A,E,A,C,A,A,D,D,E,C,A,C,E,A,E,C,A,A,A,A,A,E,C,B,C,A,E,A,E,A,B,C,C,D,E,A,B,B,D,E,A,E,D,A,A,B
10,E,A,C,A,E,E,B,E,E,D,E,B,A,B,E,A,B,C,A,D,A,B,C,A,C,B,E,E,B,B,D,A,D,D,E,B,A,A,E,C,A,A,D,E,B,B,C,C,A,A,A,B,A,D,B,C,D,E,A,E,E,B,D
11,C,D,B,B,C,C,A,C,C,D,B,D,E,C,D,C,E,B,C,C,B,B,B,D,C,A,A,C,A,B,A,A,C,C,C,C,A,A,C,C,D,B,A,B,E,A,C,A,B,A,E,D,B,E,B,C,E,C,E,C,A,B,D
12,E,E,C,C,A,A,B,E,C,E,B,A,C,B,A,C,D,A,B,A,E,E,C,A,E,A,B,C,D,B,B,C,D,E,A,C,A,B,E,B,D,A,A,B,B,C,E,E,C,E,C,A,B,C,B,C,A,E,B,B,C,C,B
13,E,E,E,B,E,A,E,E,C,B,C,C,E,E,B,D,C,D,D,A,E,C,A,C,E,E,B,C,E,B,B,A,E,E,D,E,E,C,C,E,C,B,C,D,B,B,E,E,D,E,C,E,C,C,E,A,B,E,A,D,E,D,E
14,D,E,E,B,D,A,B,D,D,E,D,D,C,B,A,D,A,E,B,E,D,D,B,D,C,C,D,D,B,C,A,A,D,D,A,C,D,A,A,C,B,D,C,E,C,A,E,E,A,E,B,A,D,D,A,C,E,B,C,B,D,D,B
15,D,B,C,B,D,D,A,A,E,E,C,E,B,B,C,E,B,D,D,E,B,D,A,A,D,A,E,D,C,A,C,E,D,E,E,E,C,C,B,E,C,B,D,C,C,C,A,E,B,A,A,D,D,A,A,A,C,E,D,A,D,B,B
16,D,A,B,E,A,E,B,B,D,A,B,A,E,A,C,C,A,D,B,E,C,B,C,B,A,A,A,B,A,C,B,E,B,B,A,A,B,C,A,A,B,E,A,B,C,D,B,C,E,E,E,D,B,A,D,B,B,A,E,A,C,B,D
17,E,D,C,B,D,A,B,B,D,E,D,C,A,B,D,E,A,B,E,C,C,A,B,D,E,A,A,E,D,A,E,D,A,E,D,D,D,E,C,E,A,D,B,E,E,A,E,E,D,C,B,E,B,E,E,D,B,C,C,C,C,D,E
18,B,C,D,B,E,A,A,D,D,B,E,B,A,D,A,A,E,B,C,E,D,A,D,E,B,E,B,D,C,A,A,D,E,C,D,D,E,C,A,B,A,A,C,C,E,A,B,B,E,E,E,B,B,D,A,B,D,B,B,C,D,B,D
19,E,A,B,E,A,C,D,E,D,D,E,D,D,B,B,D,D,D,A,E,C,D,C,E,E,E,E,D,D,C,D,A,D,E,D,E,D,E,A,A,A,C,E,A,E,E,D,D,C,E,D,B,D,D,A,D,E,E,A,D,D,B,E
20,D,E,A,D,C,B,B,B,B,B,D,C,D,C,D,A,D,B,D,A,B,D,B,C,D,D,C,C,D,C,A,D,D,C,E,E,C,D,E,D,C,C,D,D,D,C,D,D,C,D,D,B,B,B,E,C,C,B,E,A,C,E,A
21,E,B,B,E,D,E,B,B,B,B,D,B,A,B,B,B,D,B,E,E,A,B,B,A,E,B,B,B,C,E,B,D,A,B,B,D,B,B,D,D,B,E,A,C,A,A,A,A,E,E,B,A,B,B,A,E,D,E,D,B,B,B,D
22,E,C,D,D,D,C,B,E,B,E,C,E,E,B,C,D,E,D,C,B,D,B,C,E,D,A,B,E,A,B,B,A,E,C,C,B,D,C,A,D,D,B,B,E,D,D,A,A,A,A,C,D,D,B,B,D,D,C,B,D,D,A,A
23,E,D,C,C,E,A,C,E,D,B,B,B,B,E,C,C,A,A,B,D,C,E,C,C,E,B,A,C,B,C,E,E,C,C,C,A,C,B,C,D,C,C,C,C,C,D,C,E,C,A,B,C,B,B,B,B,D,C,D,D,C,C,A
24,B,C,B,E,C,C,B,C,E,B,E,E,E,D,A,B,E,B,E,D,E,D,A,E,C,D,E,C,E,E,B,B,E,C,C,A,E,E,E,C,A,B,D,B,A,A,D,A,C,B,C,B,E,C,C,A,E,D,A,C,B,E,E
25,D,A,E,D,D,E,C,D,E,C,C,C,C,B,E,E,D,A,B,E,E,E,E,E,C,A,B,E,C,C,E,E,C,E,A,C,B,C,D,E,A,E,B,C,D,B,A,B,C,D,A,D,E,C,B,C,B,D,D,C,E,E,C
26,B,A,B,B,B,E,E,B,E,C,D,A,A,B,D,C,C,C,B,E,C,E,B,B,B,E,E,B,C,E,D,E,B,D,E,A,C,C,B,C,A,E,E,E,C,C,B,B,C,D,B,C,E,E,B,B,D,B,D,B,C,B,E
27,A,C,B,A,C,B,B,D,D,C,E,A,C,A,C,B,B,E,E,E,A,B,D,D,D,D,E,D,B,A,C,E,A,B,D,B,B,D,E,C,A,E,D,C,C,E,D,D,D,E,B,A,A,D,C,E,C,D,C,C,D,B,B
28,C,D,E,E,B,A,B,C,E,C,E,A,E,D,A,E,D,C,E,C,B,C,D,A,E,E,E,B,B,C,A,E,B,A,B,E,E,C,A,E,E,B,E,E,A,C,E,E,E,C,D,C,B,B,C,D,E,E,E,D,E,B,E
29,B,A,E,C,B,C,C,B,C,E,E,A,D,E,B,C,B,E,C,C,E,C,A,B,B,A,C,B,A,E,E,E,C,B,B,B,C,A,E,D,C,B,C,B,A,D,E,C,D,E,A,D,B,B,D,A,E,B,C,E,A,E,E
30,B,E,A,D,B,E,A,D,E,D,E,B,E,B,A,E,B,D,C,D,A,E,E,C,B,A,C,E,B,C,D,B,E,B,E,B,A,B,E,D,E,A,C,C,D,E,E,A,D,E,D,C,E,B,E,A,D,B,E,B,B,D,E
