question_id,worker1,worker2,worker3,worker4,worker5,worker6,worker7,worker8,worker9,worker10,worker11,worker12,worker13,worker14,worker15,worker16,worker17,worker18,worker19,worker20,worker21,worker22,worker23,worker24,worker25,worker26,worker27,worker28,worker29,worker30,worker31,worker32,worker33,worker34,worker35,worker36,worker37,worker38,worker39,worker40,worker41,worker42,worker43,worker44,worker45,worker46,worker47,worker48,worker49,worker50,worker51,worker52,worker53,worker54,worker55,worker56,worker57,worker58,worker59,worker60,worker61,worker62,worker63,worker64,worker65,worker66,worker67,worker68,worker69,worker70,worker71,worker72,worker73,worker74,worker75,worker76,worker77,worker78,worker79,worker80,worker81,worker82,worker83,worker84,worker85,worker86,worker87,worker88,worker89,worker90,worker91,worker92,worker93,worker94,worker95,worker96,worker97,worker98,worker99,worker100,worker101,worker102,worker103,worker104,worker105,worker106,worker107,worker108,worker109,worker110,worker111
1,A,B,D,E,D,D,E,D,A,B,A,A,B,D,B,D,D,A,E,A,C,A,A,B,D,A,B,B,D,C,B,A,D,B,A,E,D,D,A,A,B,E,C,E,A,A,A,C,B,E,A,A,B,A,A,A,C,B,A,C,A,D,A,C,C,D,B,C,D,E,E,C,C,E,C,C,D,E,A,D,E,E,A,C,A,E,C,D,B,B,A,D,C,B,A,B,D,C,A,E,A,C,E,A,A,B,C,D,A,E,A
2,A,B,A,E,C,E,E,D,E,B,B,B,A,D,A,A,D,A,A,A,C,B,B,D,B,C,D,A,C,B,B,B,A,A,A,A,B,D,E,B,C,B,A,B,B,E,E,B,C,E,E,E,A,D,E,B,C,E,B,A,A,D,E,E,B,E,D,B,A,D,E,B,A,B,B,B,B,A,E,D,B,B,A,E,B,B,A,A,D,A,D,C,A,A,A,D,C,B,D,D,B,C,A,D,D,B,E,B,B,A,C
3,D,E,A,C,A,E,C,D,B,B,B,A,A,E,D,A,A,E,E,A,A,E,D,A,B,B,B,A,A,C,A,E,B,B,E,E,B,E,A,E,E,B,D,C,A,E,A,D,C,B,A,B,C,E,D,A,E,A,A,A,C,E,E,E,B,A,D,A,D,C,C,E,A,A,D,E,A,D,A,E,C,B,C,E,D,C,D,C,E,E,C,D,B,A,C,B,E,A,C,C,A,A,E,E,B,B,E,A,C,C,B
4,C,C,A,A,C,A,B,C,A,C,D,C,C,C,C,C,E,A,C,C,A,E,C,A,E,C,A,B,C,A,C,A,C,B,A,A,C,C,C,C,C,E,D,A,C,B,A,C,E,B,C,C,A,D,C,C,B,C,A,A,C,D,C,A,A,C,A,C,A,A,A,C,A,B,A,A,C,D,C,C,D,C,B,C,C,A,D,C,B,A,C,E,A,A,A,C,C,A,D,A,C,C,D,C,A,C,A,C,A,C,A
5,D,E,D,C,B,D,E,A,E,E,C,C,D,B,E,B,B,C,C,C,B,A,C,A,C,E,C,D,D,E,D,B,E,D,E,A,D,A,A,C,D,C,A,A,C,D,D,C,A,D,C,E,E,B,C,A,C,E,E,A,A,C,C,E,A,A,B,A,C,C,D,C,A,D,A,B,A,C,D,C,C,C,B,C,B,C,C,D,B,C,C,A,A,A,C,B,E,D,D,A,E,C,E,B,D,A,C,B,A,A,B
6,C,C,C,C,D,C,D,D,C,C,C,C,E,C,D,C,D,A,D,C,A,C,C,C,E,B,C,C,C,C,C,C,C,B,B,E,E,C,C,C,C,E,B,C,C,D,C,C,C,D,C,C,C,D,C,C,B,C,C,C,D,C,E,C,E,C,A,C,C,C,C,A,D,D,C,C,C,A,B,C,B,E,C,C,C,C,C,C,B,C,E,D,E,E,C,D,C,E,C,C,E,C,D,E,D,D,C,D,C,D,E
7,D,D,B,B,B,C,D,E,C,C,C,D,E,A,B,E,A,C,C,D,C,E,E,C,B,A,E,B,E,E,A,C,C,D,A,C,C,C,E,E,C,C,C,E,D,B,C,B,E,B,C,D,A,A,C,B,E,E,D,E,C,B,E,D,E,C,A,C,D,C,C,B,C,B,B,E,B,C,E,C,E,E,E,C,D,E,D,C,E,C,D,E,D,E,A,D,B,A,B,D,A,D,D,C,E,A,B,E,B,E,B
8,E,D,D,A,D,E,E,D,E,E,D,B,B,D,E,C,B,A,C,D,E,D,D,E,B,A,B,C,C,D,C,E,E,D,B,B,B,C,B,D,D,D,A,D,B,C,D,D,C,E,E,A,B,D,D,E,D,D,C,E,C,C,D,D,C,C,B,D,C,E,E,D,C,C,E,A,C,C,C,C,B,A,A,D,A,D,D,B,C,D,D,C,D,B,D,A,E,B,A,D,C,C,A,E,B,A,C,D,D,A,E
9,E,D,D,D,C,B,D,D,C,C,D,D,E,E,D,C,E,B,C,D,C,E,C,C,E,E,E,C,B,C,A,C,C,E,C,C,B,D,D,E,C,C,B,C,A,A,C,C,A,A,B,C,A,C,C,E,B,B,C,D,D,B,D,D,C,C,D,E,D,E,C,C,C,B,C,C,C,C,E,C,C,D,C,C,E,E,C,D,D,D,C,E,D,E,E,C,E,C,A,C,C,D,B,D,E,E,B,C,D,C,C
10,B,A,A,C,D,B,D,E,E,A,D,D,A,B,C,C,E,E,B,C,E,A,E,E,D,C,D,D,B,B,B,A,E,E,E,E,B,E,B,C,B,E,D,D,D,E,C,D,D,A,C,D,E,D,C,E,E,D,B,D,E,E,E,A,A,A,D,D,B,D,E,B,E,C,E,B,D,A,C,D,A,A,C,D,E,D,A,E,C,E,A,A,D,A,D,E,B,A,A,E,D,E,D,B,D,C,E,E,E,C,C
11,E,C,D,C,B,D,C,D,C,B,D,C,B,B,A,C,D,C,D,C,C,D,C,D,D,C,C,A,E,C,D,C,C,D,D,D,B,D,C,A,C,C,A,C,D,D,C,D,A,B,C,C,D,D,C,D,E,D,C,C,D,D,E,E,D,A,E,C,B,C,B,C,D,B,D,C,C,C,A,C,A,D,B,D,C,C,C,A,D,D,C,B,B,D,B,B,C,C,A,B,B,C,E,B,C,E,C,C,C,D,A
12,D,C,C,E,B,D,A,A,B,A,E,E,D,D,E,C,E,A,C,B,D,D,E,E,D,C,E,D,C,D,C,E,B,D,E,C,C,D,B,E,C,C,B,B,C,C,B,C,E,C,E,C,D,D,C,B,C,D,D,E,B,D,D,B,B,D,A,C,E,A,B,B,C,C,B,C,C,D,E,C,D,C,C,C,C,D,A,D,E,C,E,D,A,D,A,D,E,C,C,A,D,C,D,B,C,C,D,B,C,E,C
13,B,A,B,A,C,D,B,E,A,C,D,D,A,B,C,D,E,D,B,A,D,D,D,D,E,C,A,D,A,B,B,A,D,D,B,D,A,C,C,B,E,D,A,E,E,E,B,E,D,C,C,B,A,D,A,B,C,B,D,D,D,C,E,A,D,A,E,B,E,A,B,B,E,C,E,B,E,D,B,D,B,D,B,C,C,B,D,D,A,D,E,B,B,B,E,C,B,C,D,B,D,B,D,D,D,B,E,B,D,C,A
14,C,B,E,E,D,E,D,A,A,B,B,B,A,E,C,B,E,E,E,E,A,E,E,E,A,E,B,D,D,E,A,B,E,C,E,A,E,D,B,A,B,B,E,D,C,A,A,A,C,E,D,E,B,D,E,E,A,B,D,A,A,E,B,C,B,A,C,E,E,B,A,E,A,D,E,E,A,B,E,A,B,A,C,E,C,B,A,A,B,D,A,E,E,E,C,B,E,A,B,A,B,A,D,E,A,D,A,E,E,E,E
15,D,B,C,E,B,A,B,E,D,D,B,D,B,A,A,E,D,B,A,D,A,C,A,D,E,B,B,C,E,A,A,D,E,D,D,C,A,D,D,D,A,D,E,C,B,D,D,D,E,C,D,D,C,A,D,D,A,A,A,D,B,A,C,C,C,B,C,B,A,A,A,D,A,A,D,D,D,B,E,D,A,B,A,D,D,E,D,D,B,A,A,E,C,E,C,A,D,D,A,D,A,B,A,C,B,B,D,D,D,A,B
16,B,B,A,A,B,A,A,D,D,C,C,C,D,C,D,C,D,C,C,A,D,D,A,A,D,E,B,D,E,C,D,C,D,B,D,C,A,C,A,A,B,B,B,B,C,B,C,A,A,A,A,B,D,D,C,A,C,D,D,D,D,C,D,E,D,D,C,A,D,A,A,D,A,B,C,C,A,C,A,D,B,C,A,D,A,D,D,A,D,C,C,D,E,A,C,A,C,A,E,C,C,D,A,B,B,A,D,D,A,C,E
17,A,A,C,D,A,D,B,E,B,C,B,A,A,D,D,A,B,C,C,A,B,B,B,A,A,E,E,A,C,A,B,A,A,D,E,A,C,B,A,C,A,A,A,E,D,E,A,B,E,A,B,C,D,C,E,E,B,A,D,D,B,C,B,D,E,C,E,C,A,E,E,C,C,D,A,A,E,E,B,A,A,A,A,C,E,A,D,C,E,A,E,E,C,D,A,B,A,A,E,C,C,C,A,D,B,C,B,C,C,E,E
18,A,D,D,B,C,D,B,A,A,D,E,D,B,D,D,D,B,D,B,D,B,C,D,D,A,E,C,C,D,D,D,E,C,B,D,E,D,B,D,E,B,D,E,B,E,D,A,D,B,C,A,B,E,B,A,A,D,B,E,E,D,D,A,E,D,B,C,B,E,B,E,E,D,B,B,D,E,A,A,D,A,B,C,D,B,D,B,E,D,C,B,E,C,A,A,C,B,D,E,E,E,C,E,B,A,E,D,A,C,A,B
19,D,C,D,E,E,B,D,B,B,A,D,D,B,A,E,A,E,B,D,D,B,A,D,D,A,D,A,D,D,D,D,D,C,E,D,C,B,A,C,D,D,D,B,D,B,D,D,D,B,D,B,D,E,C,D,C,D,C,D,D,D,D,E,C,D,C,A,D,D,A,C,D,D,E,E,C,C,B,D,A,A,C,D,D,D,D,E,C,C,D,D,A,E,B,D,C,C,D,B,D,C,E,E,D,B,A,B,C,A,E,E
20,B,D,A,C,D,A,C,A,E,E,E,A,A,B,A,B,A,B,E,D,B,A,C,D,B,A,B,A,B,D,D,E,E,E,D,D,B,D,D,D,E,E,A,B,A,E,D,D,D,E,B,D,B,A,B,D,A,E,B,D,E,D,E,A,D,D,D,D,E,C,A,D,E,B,B,D,D,D,D,D,D,D,D,D,C,E,C,E,B,A,D,B,D,E,D,A,E,B,A,A,D,D,A,D,A,A,D,A,D,D,D
